Codi_districte,Nom_districte,Data,Descripcio_torn,num_accidentes,dia_semana,mes,dia_mes,temperature_2m,precipitation,rain,wind_speed_10m,weather_code,pct_congestion,hay_accidente,turno_enc,dia_enc
1,Ciutat Vella,2022-01-02,Matí,1,Diumenge,1,2,7.7125,0.0,0.0,4.4625,3,0.1711306198362522,0,0,5
1,Ciutat Vella,2022-01-03,Matí,2,Dilluns,1,3,8.775,0.0,0.0,5.6875,3,0.4758141762452107,0,0,1
1,Ciutat Vella,2022-01-04,Nit,1,Dimarts,1,4,9.15,0.0,0.0,8.65,3,0.0572331213157332,0,1,2
1,Ciutat Vella,2022-01-04,Tarda,2,Dimarts,1,4,14.9375,0.0,0.0,10.5125,3,0.5695641762452107,0,2,2
1,Ciutat Vella,2022-01-07,Matí,1,Divendres,1,7,3.0625,0.0,0.0,9.1125,1,0.4556992337164751,0,0,6
1,Ciutat Vella,2022-01-08,Tarda,3,Dissabte,1,8,11.0,0.0,0.0,11.225,3,0.4483376591274255,1,2,4
1,Ciutat Vella,2022-01-14,Matí,1,Divendres,1,14,4.6,0.0,0.0,8.5875,0,0.5296934865900383,0,0,6
1,Ciutat Vella,2022-01-14,Tarda,2,Divendres,1,14,10.5125,0.0,0.0,5.775,0,0.6068007662835249,0,2,6
1,Ciutat Vella,2022-01-15,Matí,2,Dissabte,1,15,4.6125,0.0,0.0,13.6375,0,0.4346526893308514,0,0,4
1,Ciutat Vella,2022-01-15,Tarda,1,Dissabte,1,15,10.2,0.0,0.0,7.9875,0,0.5723180076628352,0,2,4
1,Ciutat Vella,2022-01-18,Matí,1,Dimarts,1,18,5.25,0.0,0.0,11.4625,0,0.4932746392761066,0,0,2
1,Ciutat Vella,2022-01-19,Matí,1,Dimecres,1,19,3.8875,0.0,0.0,6.9375,3,0.5329437341254466,0,0,3
1,Ciutat Vella,2022-01-19,Nit,1,Dimecres,1,19,3.9375,0.1,0.1,6.375,51,0.0421455938697318,0,1,3
1,Ciutat Vella,2022-01-19,Tarda,3,Dimecres,1,19,10.6625,0.0,0.0,7.375,3,0.5263575108997226,1,2,3
1,Ciutat Vella,2022-01-20,Tarda,1,Dijous,1,20,11.1875,0.0,0.0,10.575,1,0.5239463601532567,0,2,0
1,Ciutat Vella,2022-01-21,Matí,1,Divendres,1,21,5.925,0.0,0.0,8.575,3,0.3544130530174171,0,0,6
1,Ciutat Vella,2022-01-22,Matí,2,Dissabte,1,22,3.8625,0.0,0.0,10.3125,0,0.32602969348659,0,0,4
1,Ciutat Vella,2022-01-22,Tarda,1,Dissabte,1,22,9.275,0.0,0.0,8.875,0,0.5677730653389883,0,2,4
1,Ciutat Vella,2022-01-25,Tarda,1,Dimarts,1,25,11.075,0.0,0.0,8.8875,0,0.5100574712643678,0,2,2
1,Ciutat Vella,2022-01-26,Matí,3,Dimecres,1,26,4.9875,0.0,0.0,6.625,0,0.4756516830870279,1,0,3
1,Ciutat Vella,2022-01-27,Nit,1,Dijous,1,27,4.8625,0.0,0.0,10.7875,0,0.0781449553001277,0,1,0
1,Ciutat Vella,2022-01-27,Tarda,1,Dijous,1,27,11.925,0.0,0.0,8.1625,0,0.5619626741166942,0,2,0
1,Ciutat Vella,2022-01-28,Tarda,2,Divendres,1,28,13.6125,0.0,0.0,6.75,0,0.6115900383141762,0,2,6
1,Ciutat Vella,2022-01-30,Matí,1,Diumenge,1,30,6.55,0.0,0.0,9.8375,0,0.2171069476625646,0,0,5
1,Ciutat Vella,2022-01-31,Matí,2,Dilluns,1,31,6.574999999999999,0.0,0.0,11.3125,2,0.4918582375478927,0,0,1
1,Ciutat Vella,2022-02-02,Tarda,2,Dimecres,2,2,12.6625,0.0,0.0,9.15,0,0.5610632183908046,0,2,3
1,Ciutat Vella,2022-02-03,Nit,2,Dijous,2,3,7.375,0.0,0.0,7.1875,3,0.0862068965517241,0,1,0
1,Ciutat Vella,2022-02-04,Matí,1,Divendres,2,4,7.9,0.0,0.0,7.425,3,0.5323275862068966,0,0,6
1,Ciutat Vella,2022-02-04,Nit,1,Divendres,2,4,9.55,0.1,0.1,5.9375,51,0.1340459668865838,0,1,6
1,Ciutat Vella,2022-02-05,Tarda,1,Dissabte,2,5,12.325,0.2,0.2,5.225,51,0.5532806513409961,0,2,4
