Codi_districte,fecha,Descripcio_torn,pct_congestion
1,2022-01-01,Matí,0.13625478927203066
1,2022-01-01,Nit,0.1206896551724138
1,2022-01-01,Tarda,0.4324712643678161
2,2022-01-01,Matí,0.08920454545454545
2,2022-01-01,Nit,0.05473484848484848
2,2022-01-01,Tarda,0.2481060606060606
3,2022-01-01,Matí,0.2349137931034483
3,2022-01-01,Nit,0.0966235632183908
3,2022-01-01,Tarda,0.3760775862068966
4,2022-01-01,Matí,0.11356707317073171
4,2022-01-01,Nit,0.05030487804878049
4,2022-01-01,Tarda,0.16933434959349594
5,2022-01-01,Matí,0.11210317460317461
5,2022-01-01,Nit,0.07142857142857142
5,2022-01-01,Tarda,0.2569444444444444
6,2022-01-01,Matí,0.20720108695652173
6,2022-01-01,Nit,0.14990942028985507
6,2022-01-01,Tarda,0.33016304347826086
7,2022-01-01,Matí,0.16801697530864199
7,2022-01-01,Nit,0.09876543209876543
7,2022-01-01,Tarda,0.32175925925925924
8,2022-01-01,Matí,0.14420572916666666
8,2022-01-01,Nit,0.07649739583333333
8,2022-01-01,Tarda,0.3408203125
9,2022-01-01,Matí,0.08814102564102565
9,2022-01-01,Nit,0.055288461538461536
9,2022-01-01,Tarda,0.17708333333333334
10,2022-01-01,Matí,0.12134009009009009
10,2022-01-01,Nit,0.0727759009009009
10,2022-01-01,Tarda,0.23465653153153154
1,2022-01-02,Matí,0.17113061983625225
1,2022-01-02,Nit,0.05316091954022988
1,2022-01-02,Tarda,0.5013170498084292
2,2022-01-02,Matí,0.13720411989629905
2,2022-01-02,Nit,0.023737373737373738
2,2022-01-02,Tarda,0.3778409090909091
3,2022-01-02,Matí,0.339211132324286
3,2022-01-02,Nit,0.1532567049808429
3,2022-01-02,Tarda,0.5007183908045977
4,2022-01-02,Matí,0.1429941264114467
4,2022-01-02,Nit,0.03514566395663957
4,2022-01-02,Tarda,0.31084857723577236
5,2022-01-02,Matí,0.13217727741757795
5,2022-01-02,Nit,0.05787037037037037
5,2022-01-02,Tarda,0.36086309523809523
6,2022-01-02,Matí,0.19810108704565954
6,2022-01-02,Nit,0.11790458937198067
6,2022-01-02,Tarda,0.38858695652173914
7,2022-01-02,Matí,0.15466294113868478
7,2022-01-02,Nit,0.04963991769547325
7,2022-01-02,Tarda,0.3462577160493827
8,2022-01-02,Matí,0.18476589200273413
8,2022-01-02,Nit,0.03797743055555555
8,2022-01-02,Tarda,0.474609375
9,2022-01-02,Matí,0.11027419354838709
9,2022-01-02,Nit,0.026442307692307692
9,2022-01-02,Tarda,0.29927884615384615
10,2022-01-02,Matí,0.13942249932912734
10,2022-01-02,Nit,0.07826576576576577
10,2022-01-02,Tarda,0.28688063063063063
1,2022-01-03,Matí,0.4758141762452107
1,2022-01-03,Nit,0.05004789272030651
1,2022-01-03,Tarda,0.5421172129984391
2,2022-01-03,Matí,0.4850378787878788
2,2022-01-03,Nit,0.028787878787878786
2,2022-01-03,Tarda,0.5546801346801347
3,2022-01-03,Matí,0.5862068965517241
3,2022-01-03,Nit,0.13266283524904215
3,2022-01-03,Tarda,0.6121753937845892
4,2022-01-03,Matí,0.41285569105691056
4,2022-01-03,Nit,0.04251355013550136
4,2022-01-03,Tarda,0.4501331405014563
5,2022-01-03,Matí,0.544890873015873
5,2022-01-03,Nit,0.04960317460317461
5,2022-01-03,Tarda,0.5850088183421517
6,2022-01-03,Matí,0.5246829710144928
6,2022-01-03,Nit,0.12092391304347827
6,2022-01-03,Tarda,0.5736714975845411
7,2022-01-03,Matí,0.4963348765432099
7,2022-01-03,Nit,0.05002572016460905
7,2022-01-03,Tarda,0.5454275262917239
8,2022-01-03,Matí,0.5989583333333334
8,2022-01-03,Nit,0.060546875
8,2022-01-03,Tarda,0.6533179012345679
9,2022-01-03,Matí,0.40705128205128205
9,2022-01-03,Nit,0.01282051282051282
9,2022-01-03,Tarda,0.47018043684710353
10,2022-01-03,Matí,0.3322072072072072
10,2022-01-03,Nit,0.0800487987987988
10,2022-01-03,Tarda,0.3583416750083417
1,2022-01-04,Matí,0.46898946360153254
1,2022-01-04,Nit,0.0572331213157332
1,2022-01-04,Tarda,0.5695641762452107
2,2022-01-04,Matí,0.49886363636363634
2,2022-01-04,Nit,0.018747825396601046
2,2022-01-04,Tarda,0.5837121212121212
3,2022-01-04,Matí,0.5761494252873564
3,2022-01-04,Nit,0.05784991564621105
3,2022-01-04,Tarda,0.6278735632183908
4,2022-01-04,Matí,0.41514227642276424
4,2022-01-04,Nit,0.04524135511017398
4,2022-01-04,Tarda,0.476244918699187
5,2022-01-04,Matí,0.560515873015873
5,2022-01-04,Nit,0.053568880713832805
5,2022-01-04,Tarda,0.6160714285714286
6,2022-01-04,Matí,0.5317028985507246
6,2022-01-04,Nit,0.13053087325525575
6,2022-01-04,Tarda,0.5883152173913043
7,2022-01-04,Matí,0.5304783950617284
7,2022-01-04,Nit,0.04109524395429137
7,2022-01-04,Tarda,0.5923996913580247
8,2022-01-04,Matí,0.6031901041666666
8,2022-01-04,Nit,0.05106707317073171
8,2022-01-04,Tarda,0.6852213541666666
9,2022-01-04,Matí,0.4306891025641026
9,2022-01-04,Nit,0.03030000983808582
9,2022-01-04,Tarda,0.5232371794871795
10,2022-01-04,Matí,0.32488738738738737
10,2022-01-04,Nit,0.0545489015534516
10,2022-01-04,Tarda,0.35754504504504503
1,2022-01-05,Matí,0.49102011494252873
1,2022-01-05,Nit,0.04597701149425287
1,2022-01-05,Tarda,0.4758141762452107
2,2022-01-05,Matí,0.5257575757575758
2,2022-01-05,Nit,0.03806818181818182
2,2022-01-05,Tarda,0.5481060606060606
3,2022-01-05,Matí,0.5955459770114943
3,2022-01-05,Nit,0.08692528735632184
3,2022-01-05,Tarda,0.5118534482758621
4,2022-01-05,Matí,0.4369918699186992
4,2022-01-05,Nit,0.05398882113821138
4,2022-01-05,Tarda,0.4495680894308943
5,2022-01-05,Matí,0.5677083333333334
5,2022-01-05,Nit,0.04241071428571429
5,2022-01-05,Tarda,0.5456349206349206
6,2022-01-05,Matí,0.5457427536231884
6,2022-01-05,Nit,0.12432065217391304
6,2022-01-05,Tarda,0.5602355072463768
7,2022-01-05,Matí,0.5320216049382716
7,2022-01-05,Nit,0.044174382716049385
7,2022-01-05,Tarda,0.529320987654321
8,2022-01-05,Matí,0.6471354166666666
8,2022-01-05,Nit,0.040364583333333336
8,2022-01-05,Tarda,0.6018880208333334
9,2022-01-05,Matí,0.43309294871794873
9,2022-01-05,Nit,0.027644230769230768
9,2022-01-05,Tarda,0.4182692307692308
10,2022-01-05,Matí,0.33643018018018017
10,2022-01-05,Nit,0.03997747747747748
10,2022-01-05,Tarda,0.3227759009009009
1,2022-01-06,Matí,0.09559386973180077
1,2022-01-06,Nit,0.042624521072796934
1,2022-01-06,Tarda,0.3856561302681992
2,2022-01-06,Matí,0.11232323232323232
2,2022-01-06,Nit,0.02638888888888889
2,2022-01-06,Tarda,0.3215909090909091
3,2022-01-06,Matí,0.2496168582375479
3,2022-01-06,Nit,0.06752873563218391
3,2022-01-06,Tarda,0.3933189655172414
4,2022-01-06,Matí,0.12302975212465349
4,2022-01-06,Nit,0.056148373983739834
4,2022-01-06,Tarda,0.2840447154471545
5,2022-01-06,Matí,0.12936507936507935
5,2022-01-06,Nit,0.06101190476190476
5,2022-01-06,Tarda,0.3819444444444444
6,2022-01-06,Matí,0.21618357487922707
6,2022-01-06,Nit,0.1308876811594203
6,2022-01-06,Tarda,0.448143115942029
7,2022-01-06,Matí,0.15936213991769546
7,2022-01-06,Nit,0.053755144032921816
7,2022-01-06,Tarda,0.4558256172839506
8,2022-01-06,Matí,0.14010416666666667
8,2022-01-06,Nit,0.041015625
8,2022-01-06,Tarda,0.4332682291666667
9,2022-01-06,Matí,0.11474358974358975
9,2022-01-06,Nit,0.037126068376068376
9,2022-01-06,Tarda,0.32892628205128205
10,2022-01-06,Matí,0.10202702702702701
10,2022-01-06,Nit,0.04842342342342342
10,2022-01-06,Tarda,0.24535472972972974
1,2022-01-07,Matí,0.4556992337164751
1,2022-01-07,Nit,0.09315134099616858
1,2022-01-07,Tarda,0.6065935068093385
2,2022-01-07,Matí,0.42481060606060606
2,2022-01-07,Nit,0.038257575757575754
2,2022-01-07,Tarda,0.5555054114596583
3,2022-01-07,Matí,0.5452586206896551
3,2022-01-07,Nit,0.07878352490421456
3,2022-01-07,Tarda,0.625588111342172
4,2022-01-07,Matí,0.3794461382113821
4,2022-01-07,Nit,0.05428523035230352
4,2022-01-07,Tarda,0.5030693639759909
5,2022-01-07,Matí,0.4982638888888889
5,2022-01-07,Nit,0.0667989417989418
5,2022-01-07,Tarda,0.62855801814167
6,2022-01-07,Matí,0.5108695652173914
6,2022-01-07,Nit,0.13481280193236717
6,2022-01-07,Tarda,0.6113546072023581
7,2022-01-07,Matí,0.4739583333333333
7,2022-01-07,Nit,0.05928497942386831
7,2022-01-07,Tarda,0.6181971376355826
8,2022-01-07,Matí,0.5625
8,2022-01-07,Nit,0.06749131944444445
8,2022-01-07,Tarda,0.6513157894736843
9,2022-01-07,Matí,0.40024038461538464
9,2022-01-07,Nit,0.05582264957264957
9,2022-01-07,Tarda,0.47971173882843254
10,2022-01-07,Matí,0.2998310810810811
10,2022-01-07,Nit,0.07282282282282282
10,2022-01-07,Tarda,0.390903433691416
1,2022-01-08,Matí,0.31884578544061304
